date,Brightness,roomname,Humidity,SetpointHistory,Temperature
2017-03-09 13:20:00,39.37,Bathroom,43.0,16.0,18.9
2017-03-10 08:00:00,29.3,Bathroom,39.0,16.0,19.37
2017-03-10 13:30:00,426.65000000000003,Bathroom,38.0,16.0,19.06
2017-03-13 13:40:00,691.7,Bathroom,34.0,16.0,20.0
2017-03-13 21:30:00,0.0,Bathroom,97.0,16.0,19.69
2017-03-14 13:40:00,240.33,Bathroom,38.0,16.0,19.06
2017-03-15 13:40:00,426.65,Bathroom,39.0,16.0,19.21
2017-03-15 20:20:00,69.58,Bathroom,75.0,28.0,21.57
2017-03-16 13:50:00,634.025,Bathroom,37.0,16.0,20.79
2017-03-17 13:50:00,206.0,Bathroom,39.0,16.0,19.84
2017-03-17 19:50:00,107.12,Bathroom,40.0,27.0,21.1
2017-03-17 20:30:00,35.71,Bathroom,89.0,20.0,24.25
2017-03-18 14:00:00,41.2,Bathroom,42.0,16.0,18.9
2017-03-19 08:20:00,10.07,Bathroom,50.0,20.0,17.64
2017-03-19 14:00:00,28.38,Bathroom,49.0,16.0,17.48
2017-03-19 21:50:00,77.82,Bathroom,86.0,16.0,23.46
2017-03-20 14:00:00,76.91,Bathroom,45.0,16.0,18.43
2017-03-20 21:30:00,41.66,Bathroom,84.0,16.0,21.89
2017-03-22 14:10:00,27.009999999999998,Bathroom,43.0,16.0,18.9
2017-03-23 14:10:00,80.57,Bathroom,45.0,16.0,18.9
2017-03-24 14:20:00,82.4,Bathroom,47.0,16.0,19.21
2017-03-24 17:30:00,18.31,Bathroom,46.0,20.0,19.37
2017-03-24 21:30:00,0.0,Bathroom,45.0,18.0,19.53
2017-03-24 23:00:00,68.67,Bathroom,49.0,16.0,20.0
2017-03-25 08:30:00,87.89,Bathroom,44.0,20.0,18.58
2017-03-25 13:00:00,557.57,Bathroom,33.0,16.0,19.69
2017-03-25 15:30:00,96.13,Bathroom,34.0,20.0,19.06
2017-03-25 20:50:00,0.0,Bathroom,39.0,16.0,20.16
2017-03-26 01:40:00,0.0,Bathroom,39.0,16.0,19.21
2017-03-26 06:40:00,18.31,Bathroom,38.0,20.0,19.06
2017-03-27 22:20:00,0.0,Bathroom,86.0,16.0,20.31
2017-03-28 01:10:00,0.0,Bathroom,46.0,16.0,19.53
2017-03-28 06:10:00,0.0,Bathroom,41.0,20.0,19.21
2017-03-28 07:30:00,9.16,Bathroom,39.0,16.0,20.0
2017-03-28 17:30:00,39.37,Bathroom,39.0,20.0,19.84
2017-03-28 19:00:00,13.73,Bathroom,57.0,16.0,20.63
2017-03-28 23:10:00,0.0,Bathroom,44.0,16.0,19.53
2017-03-29 20:40:00,0.0,Bathroom,44.0,20.0,19.37
2017-03-29 21:30:00,0.0,Bathroom,43.0,16.0,20.47
2017-03-30 02:30:00,0.0,Bathroom,44.0,16.0,19.37
2017-03-30 07:30:00,21.515,Bathroom,77.0,16.0,21.02
2017-03-30 17:30:00,52.19,Bathroom,42.0,20.0,20.31
2017-03-30 21:30:00,83.32,Bathroom,61.0,16.0,20.0
2017-03-31 00:00:00,0.0,Bathroom,54.0,16.0,19.84
2017-03-31 06:10:00,0.0,Bathroom,49.0,20.0,19.84
2017-03-31 07:30:00,10.99,Bathroom,48.0,16.0,19.84
2017-03-31 17:30:00,34.79,Bathroom,46.0,20.0,20.63
2017-03-31 21:30:00,0.0,Bathroom,42.0,16.0,20.63
2017-04-01 00:40:00,0.0,Bathroom,45.0,16.0,20.16
2017-04-03 01:30:00,0.0,Bathroom,55.0,16.0,19.06
2017-04-04 00:50:00,0.0,Bathroom,67.0,16.0,18.9
2017-04-04 07:00:00,2.75,Bathroom,49.0,20.0,18.58
2017-04-12 21:30:00,0.0,Bathroom,42.0,16.0,20.63
2017-04-13 01:00:00,0.0,Bathroom,44.0,16.0,19.53
2017-04-13 06:10:00,0.0,Bathroom,45.0,20.0,19.53
2017-04-13 07:30:00,3.66,Bathroom,70.0,16.0,19.37
2017-04-13 17:30:00,13.73,Bathroom,44.0,20.0,19.37
2017-04-13 21:30:00,75.99,Bathroom,93.0,16.0,22.2
2017-04-14 02:30:00,0.0,Bathroom,48.0,16.0,19.53
2017-04-14 06:10:00,0.0,Bathroom,45.0,20.0,19.21
2017-04-14 07:30:00,10.07,Bathroom,45.0,16.0,19.21
2017-04-14 16:30:00,92.47,Bathroom,42.0,20.0,18.58
2017-04-14 21:30:00,0.0,Bathroom,40.0,16.0,20.31
2017-04-15 02:50:00,0.0,Bathroom,41.0,16.0,19.37
2017-04-15 08:50:00,95.22,Bathroom,41.0,20.0,18.9
2017-04-15 13:00:00,182.2,Bathroom,44.0,16.0,19.84
2017-04-15 17:00:00,41.2,Bathroom,42.0,20.0,19.37
2017-04-15 21:30:00,0.0,Bathroom,44.0,16.0,19.06
2017-04-16 03:00:00,0.0,Bathroom,43.0,16.0,18.58
2017-04-16 08:40:00,82.4,Bathroom,42.0,20.0,18.27
2017-04-16 13:00:00,97.05,Bathroom,41.0,16.0,18.27
2017-04-16 15:20:00,84.23,Bathroom,42.0,20.0,18.11
2017-04-16 21:30:00,0.0,Bathroom,42.0,16.0,17.64
2017-04-17 02:00:00,0.0,Bathroom,43.0,16.0,17.48
2017-04-17 04:00:00,0.0,Bathroom,43.0,20.0,17.48
2017-04-17 07:30:00,4.58,Bathroom,42.0,16.0,18.27
2017-04-17 15:20:00,75.99,Bathroom,44.0,20.0,17.17
2017-04-17 20:20:00,67.75,Bathroom,44.0,16.0,19.06
2017-04-17 23:10:00,0.0,Bathroom,44.0,16.0,17.95
2017-04-18 10:10:00,43.03,Bathroom,46.0,20.0,17.64
2017-04-18 23:20:00,0.0,Bathroom,40.0,16.0,20.63
2017-04-19 05:00:00,0.0,Bathroom,40.0,20.0,18.74
2017-04-19 07:30:00,12.82,Bathroom,88.0,16.0,23.46
2017-04-19 14:20:00,51.27,Bathroom,38.0,20.0,18.43
2017-04-19 19:50:00,3.66,Bathroom,40.0,28.0,19.53
2017-04-19 21:50:00,0.0,Bathroom,51.0,16.0,18.58
2017-04-20 06:20:00,71.41,Bathroom,41.0,20.0,18.58
2017-04-20 07:20:00,19.23,Bathroom,43.0,20.0,19.37
2017-04-20 07:30:00,29.3,Bathroom,42.0,18.0,19.53
2017-04-21 07:30:00,9.16,Bathroom,36.0,16.0,20.0
2017-04-21 10:10:00,236.21,Bathroom,37.0,20.0,19.21
2017-04-21 12:30:00,509.96,Bathroom,29.0,16.0,21.26
2017-04-21 17:30:00,52.19,Bathroom,37.0,20.0,20.0
2017-04-21 21:30:00,0.0,Bathroom,40.0,16.0,19.84
2017-04-21 22:40:00,0.0,Bathroom,41.0,20.0,19.69
2017-04-22 23:00:00,0.0,Bathroom,45.0,16.0,20.0
2017-04-23 10:00:00,162.05,Bathroom,40.0,20.0,19.06
2017-04-30 00:40:00,0.0,Bathroom,48.0,16.0,19.69
2017-04-30 01:00:00,0.0,Bathroom,47.5,16.0,19.61
2017-04-30 10:00:00,195.93,Bathroom,49.0,20.0,19.06
2017-04-30 13:00:00,663.78,Bathroom,43.0,16.0,20.0
2017-04-30 17:00:00,65.92,Bathroom,46.0,20.0,19.21
2017-04-30 21:30:00,0.0,Bathroom,44.0,16.0,20.79
2017-05-01 00:20:00,0.0,Bathroom,44.0,16.0,19.84
2017-05-01 06:10:00,3.66,Bathroom,42.0,20.0,19.53
2017-05-01 07:30:00,16.48,Bathroom,42.0,16.0,19.53
2017-05-01 17:30:00,43.03,Bathroom,50.0,20.0,19.53
2017-05-01 21:30:00,66.84,Bathroom,45.0,16.0,20.63
2017-05-02 01:30:00,0.0,Bathroom,46.0,16.0,19.69
2017-05-02 06:10:00,0.0,Bathroom,46.0,20.0,19.53
2017-05-02 07:30:00,3.66,Bathroom,46.0,16.0,19.53
2017-05-02 16:30:00,37.535,Bathroom,47.0,20.0,18.9
2017-05-02 20:00:00,2.75,Bathroom,44.0,27.5,20.94
2017-05-02 21:30:00,0.0,Bathroom,59.0,16.0,21.26
2017-05-03 06:10:00,2.29,Bathroom,47.5,20.0,19.53
2017-05-03 07:30:00,10.07,Bathroom,49.0,16.0,20.16
2017-05-03 17:30:00,24.72,Bathroom,49.0,20.0,19.53
2017-05-03 21:30:00,69.58,Bathroom,87.0,16.0,25.35
2017-05-04 01:20:00,0.0,Bathroom,62.0,16.0,19.37
2017-05-04 06:10:00,3.66,Bathroom,54.0,20.0,19.37
2017-05-04 07:30:00,32.96,Bathroom,50.0,16.0,20.16
2017-05-04 17:30:00,86.98,Bathroom,51.0,20.0,19.53
2017-05-04 20:20:00,0.92,Bathroom,49.0,27.5,20.47
2017-05-04 21:30:00,0.0,Bathroom,70.0,16.0,22.52
2017-05-05 03:00:00,0.0,Bathroom,54.5,16.0,19.84
2017-05-05 06:10:00,1.83,Bathroom,52.0,20.0,19.84
2017-05-05 07:30:00,14.65,Bathroom,54.0,16.0,19.69
2017-05-05 17:30:00,102.54,Bathroom,50.0,20.0,19.53
2017-05-05 21:30:00,0.0,Bathroom,79.0,16.0,19.53
2017-05-06 00:30:00,0.0,Bathroom,77.0,16.0,19.61
2017-05-06 10:00:00,173.96,Bathroom,55.0,20.0,19.21
2017-05-06 13:00:00,569.48,Bathroom,43.0,16.0,19.84
2017-05-06 17:00:00,111.7,Bathroom,53.0,20.0,19.37
2017-05-06 21:30:00,0.0,Bathroom,54.0,16.0,19.21
2017-05-07 01:30:00,0.0,Bathroom,53.0,16.0,19.06
2017-05-07 09:00:00,89.72,Bathroom,54.0,20.0,18.9
2017-05-07 13:00:00,27.47,Bathroom,56.0,16.0,19.06
2017-05-07 17:00:00,94.3,Bathroom,56.0,20.0,19.06
2017-05-07 21:20:00,0.0,Bathroom,69.0,20.0,18.74
2017-05-07 21:30:00,0.0,Bathroom,69.0,16.0,18.74
2017-05-08 05:10:00,0.0,Bathroom,61.0,20.0,18.58
2017-05-08 07:30:00,10.99,Bathroom,61.0,16.0,18.58
